<0, 0.37, 1000, lifo, 200, zipf(1.2)>
<773673887, 0.92, 1000, lifo, 200, zipf(1.2)>
<1175240495, 1.01, 1000, lifo, 200, zipf(1.2)>
<877703903, 1.01, 1000, lifo, 200, zipf(1.2)>
<64945837, 1.01, 1000, lifo, 200, zipf(1.2)>
<0, 0.39, 1000, lru, 10, uniform>
<1282545599, 0.84, 1000, lru, 10, uniform>
<128569007, 0.98, 1000, lru, 10, uniform>
<1409521079, 1.00, 1000, lru, 10, uniform>
<0, 0.41, 1000, lru, 20, uniform>
<762349811, 0.82, 1000, lru, 20, uniform>
<109630529, 0.96, 1000, lru, 20, uniform>
<521642012, 0.96, 1000, lru, 20, uniform>
<430264905, 1.01, 1000, lru, 20, uniform>
<0, 0.66, 1000, lru, 50, uniform>
<1511786027, 0.95, 1000, lru, 50, uniform>
<1959610631, 0.93, 1000, lru, 50, uniform>
<295759727, 1.06, 1000, lru, 50, uniform>
<181591415, 1.08, 1000, lru, 50, uniform>
<0, 2.56, 1000, lru, 100, uniform>
<1942576063, 2.61, 1000, lru, 100, uniform>
<139489419, 2.66, 1000, lru, 100, uniform>
<234875135, 2.64, 1000, lru, 100, uniform>
<0, 0.54, 1000, lru, 200, uniform>
<1218879203, 0.94, 1000, lru, 200, uniform>
<188402719, 1.05, 1000, lru, 200, uniform>
<1725598071, 1.05, 1000, lru, 200, uniform>
<149674799, 1.05, 1000, lru, 200, uniform>
<0, 0.43, 1000, none, 10, uniform>
<769107839, 1.02, 1000, none, 10, uniform>
<20141054, 1.16, 1000, none, 10, uniform>
<1404555839, 1.18, 1000, none, 10, uniform>
<264987071, 1.20, 1000, none, 10, uniform>
<0, 1.25, 1000, fifo, 10, uniform>
<82723759, 5.14, 1000, fifo, 10, uniform>
<609955359, 5.31, 1000, fifo, 10, uniform>
<423865441, 5.41, 1000, fifo, 10, uniform>
<0, 0.48, 1000, fifo, 20, uniform>
<1505270249, 0.92, 1000, fifo, 20, uniform>
<153499319, 1.03, 1000, fifo, 20, uniform>
<194860911, 1.04, 1000, fifo, 20, uniform>
